page_id	name	urlslug	ID	ALIGN	EYE	HAIR	SEX	GSM	ALIVE	APPEARANCES	FIRST APPEARANCE	Year	lon	lat
1678	Spider-Man (Peter Parker)	\/Spider-Man_(Peter_Parker)	Secret Identity	Good Characters	Hazel Eyes	Brown Hair	Male Characters		Living Characters	4043	Aug-62	1962	-124.58454221635864	-22.83444013028884
7139	Captain America (Steven Rogers)	\/Captain_America_(Steven_Rogers)	Public Identity	Good Characters	Blue Eyes	White Hair	Male Characters		Living Characters	3360	Mar-41	1941	-158.73932853602628	35.22106511796734
64786	"Wolverine (James \""Logan\"" Howlett)"	\/Wolverine_(James_%22Logan%22_Howlett)	Public Identity	Neutral Characters	Blue Eyes	Black Hair	Male Characters		Living Characters	3061	Oct-74	1974	66.75391157020081	-32.32425509194236
1868	"Iron Man (Anthony \""Tony\"" Stark)"	\/Iron_Man_(Anthony_%22Tony%22_Stark)	Public Identity	Good Characters	Blue Eyes	Black Hair	Male Characters		Living Characters	2961	Mar-63	1963	116.60386286929133	-25.11303836920466
2460	Thor (Thor Odinson)	\/Thor_(Thor_Odinson)	No Dual Identity	Good Characters	Blue Eyes	Blond Hair	Male Characters		Living Characters	2258	Nov-50	1950	-73.81116730295867	72.46595246011745
2458	Benjamin Grimm (Earth-616)	\/Benjamin_Grimm_(Earth-616)	Public Identity	Good Characters	Blue Eyes	No Hair	Male Characters		Living Characters	2255	Nov-61	1961	-143.5735049258372	24.83399113851084
2166	Reed Richards (Earth-616)	\/Reed_Richards_(Earth-616)	Public Identity	Good Characters	Brown Eyes	Brown Hair	Male Characters		Living Characters	2072	Nov-61	1961	-64.26567265564178	-17.556733729872704
1833	Hulk (Robert Bruce Banner)	\/Hulk_(Robert_Bruce_Banner)	Public Identity	Good Characters	Brown Eyes	Brown Hair	Male Characters		Living Characters	2017	May-62	1962	-117.1611	32.7157
29481	Scott Summers (Earth-616)	\/Scott_Summers_(Earth-616)	Public Identity	Neutral Characters	Brown Eyes	Brown Hair	Male Characters		Living Characters	1955	Sep-63	1963	46.33133123428328	5.821674073017803
1837	Jonathan Storm (Earth-616)	\/Jonathan_Storm_(Earth-616)	Public Identity	Good Characters	Blue Eyes	Blond Hair	Male Characters		Living Characters	1934	Nov-61	1961	-117.1611	32.7157
15725	Henry McCoy (Earth-616)	\/Henry_McCoy_(Earth-616)	Public Identity	Good Characters	Blue Eyes	Blue Hair	Male Characters		Living Characters	1825	Sep-63	1963	96.59759747381645	-44.491464673890526
1863	Susan Storm (Earth-616)	\/Susan_Storm_(Earth-616)	Public Identity	Good Characters	Blue Eyes	Blond Hair	Female Characters		Living Characters	1713	Nov-61	1961	-117.1611	32.7157
7823	Namor McKenzie (Earth-616)	\/Namor_McKenzie_(Earth-616)	No Dual Identity	Neutral Characters	Green Eyes	Black Hair	Male Characters		Living Characters	1528			160.76528612856777	85.77199907582354
2614	Ororo Munroe (Earth-616)	\/Ororo_Munroe_(Earth-616)	Public Identity	Good Characters	Blue Eyes	White Hair	Female Characters		Living Characters	1512	May-75	1975	-116.26189712853855	-55.2238863991847
1803	Clinton Barton (Earth-616)	\/Clinton_Barton_(Earth-616)	Public Identity	Good Characters	Blue Eyes	Blond Hair	Male Characters		Living Characters	1394	Sep-64	1964	47.91875277920238	89.00970954027227
1396	Matthew Murdock (Earth-616)	\/Matthew_Murdock_(Earth-616)	Public Identity	Good Characters	Blue Eyes	Red Hair	Male Characters		Living Characters	1338	Apr-64	1964	121.77248719763037	8.29214336239518
55534	Stephen Strange (Earth-616)	\/Stephen_Strange_(Earth-616)	Public Identity	Good Characters	Grey Eyes	Black Hair	Male Characters		Living Characters	1307	Jul-63	1963	-157.38039477610798	-51.38597511438598
1978	Mary Jane Watson (Earth-616)	\/Mary_Jane_Watson_(Earth-616)	No Dual Identity	Good Characters	Green Eyes	Red Hair	Female Characters		Living Characters	1304	Jun-65	1965	102.33789965561078	30.150819648728486
1872	John Jonah Jameson (Earth-616)	\/John_Jonah_Jameson_(Earth-616)	No Dual Identity	Neutral Characters	Blue Eyes	Black Hair	Male Characters		Living Characters	1266	Mar-63	1963	-48.64040364256073	-56.438336901536324
35350	Robert Drake (Earth-616)	\/Robert_Drake_(Earth-616)	Secret Identity	Good Characters	Brown Eyes	Brown Hair	Male Characters		Living Characters	1265	Sep-63	1963	138.69677622987183	-25.84999014299082
1557	Henry Pym (Earth-616)	\/Henry_Pym_(Earth-616)	Public Identity	Good Characters	Blue Eyes	Blond Hair	Male Characters		Living Characters	1237	Jan-62	1962	-139.3232333712249	31.54766805024144
65255	Charles Xavier (Earth-616)	\/Charles_Xavier_(Earth-616)	Public Identity	Good Characters	Blue Eyes	Bald	Male Characters		Deceased Characters	1233	Sep-63	1963	48.70153401163233	52.68777795356752
1073	Warren Worthington III (Earth-616)	\/Warren_Worthington_III_(Earth-616)	Public Identity	Good Characters	Blue Eyes	Blond Hair	Male Characters		Living Characters	1230	Sep-63	1963	-80.84910681814921	-19.940424338391537
1346	Piotr Rasputin (Earth-616)	\/Piotr_Rasputin_(Earth-616)	Secret Identity	Good Characters	Blue Eyes	Black Hair	Male Characters		Living Characters	1162	May-75	1975	11.450713091664454	-26.850935504612934
